epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,711.236,0.68813,0.96881,0.49036,0.9354,0.92963,0.94103,0.98053,0.7527,0.91871,0.93214,0.96904,0.66473,0.70925,1.08696,0.48021,0.9517,0.00103288,0.00103288,0.00103288
44,727.621,0.69098,1.01013,0.4839,0.92828,0.97372,0.9292,0.97453,0.74596,0.95711,0.90874,0.95559,0.66248,0.71683,1.01775,0.47547,0.95224,0.00102345,0.00102345,0.00102345
45,743.823,0.6736,0.98926,0.47975,0.91933,0.97167,0.91668,0.97962,0.74669,0.96312,0.90985,0.96613,0.67412,0.71545,1.02875,0.47477,0.95546,0.00101402,0.00101402,0.00101402
46,760.144,0.69025,1.0032,0.49666,0.92844,0.96091,0.92606,0.96887,0.75785,0.93886,0.91436,0.9541,0.67595,0.71994,1.02964,0.46971,0.96375,0.00100459,0.00100459,0.00100459
47,776.222,0.68785,0.96526,0.48314,0.9325,0.95616,0.94707,0.97543,0.76487,0.9532,0.90672,0.95478,0.6668,0.71343,1.04956,0.46487,0.9537,0.000995156,0.000995156,0.000995156
48,792.508,0.67927,0.99749,0.48577,0.93691,0.97359,0.93685,0.98272,0.77459,0.96426,0.92114,0.96093,0.68239,0.70267,0.99862,0.44734,0.94906,0.000985724,0.000985724,0.000985724
49,808.784,0.67947,0.94563,0.48239,0.92679,0.97012,0.92741,0.97628,0.76948,0.94751,0.90701,0.95313,0.65563,0.70388,1.04127,0.45888,0.94585,0.000976293,0.000976293,0.000976293
50,825.128,0.65639,0.92979,0.47056,0.91825,0.94359,0.93109,0.98176,0.76101,0.96781,0.88831,0.97128,0.67441,0.72486,1.02076,0.4622,0.96002,0.000966861,0.000966861,0.000966861
51,841.273,0.67794,0.96147,0.48122,0.92947,0.9605,0.93854,0.98055,0.75829,0.93356,0.92624,0.96525,0.6671,0.72392,1.08089,0.48072,0.97394,0.00095743,0.00095743,0.00095743
52,857.578,0.68171,0.97662,0.47352,0.92271,0.97489,0.91703,0.97715,0.75457,0.96693,0.91023,0.96998,0.68426,0.70245,1.01629,0.44967,0.94653,0.000947999,0.000947999,0.000947999
53,873.663,0.65961,0.95889,0.46103,0.91842,0.95451,0.95532,0.98178,0.76678,0.94544,0.94654,0.97503,0.68536,0.68299,1.02797,0.4356,0.94371,0.000938567,0.000938567,0.000938567
54,890.039,0.65641,0.94268,0.46439,0.91438,0.98357,0.93312,0.97802,0.76844,0.97365,0.92442,0.96766,0.67384,0.67497,0.97495,0.45494,0.93958,0.000929136,0.000929136,0.000929136
55,906.391,0.64303,0.93388,0.45378,0.91403,0.95718,0.93928,0.98251,0.77812,0.97812,0.89953,0.96569,0.67387,0.66782,0.97791,0.43751,0.93425,0.000919704,0.000919704,0.000919704
56,922.612,0.63717,0.90614,0.45878,0.91599,0.94809,0.94116,0.97892,0.77805,0.94289,0.92461,0.96408,0.67032,0.6771,1.02602,0.4356,0.93525,0.000910273,0.000910273,0.000910273
57,938.885,0.65779,0.92803,0.44806,0.91722,0.96611,0.95056,0.98152,0.76275,0.95277,0.93811,0.97031,0.69182,0.69018,0.99081,0.44314,0.95163,0.000900842,0.000900842,0.000900842
58,955.045,0.64297,0.95458,0.44842,0.91531,0.96256,0.9067,0.97495,0.76586,0.97642,0.8967,0.96099,0.6825,0.69564,0.99547,0.43893,0.94442,0.00089141,0.00089141,0.00089141
59,971.343,0.64095,0.93327,0.4426,0.92082,0.98015,0.90979,0.97748,0.77079,0.96348,0.89618,0.96356,0.67899,0.68779,1.01103,0.44474,0.93936,0.000881979,0.000881979,0.000881979
60,987.464,0.64669,0.91491,0.44812,0.91601,0.98102,0.9392,0.98064,0.77167,0.96587,0.9147,0.95701,0.66506,0.68174,1.02499,0.44725,0.93948,0.000872547,0.000872547,0.000872547
61,1003.85,0.64476,0.92649,0.44411,0.9179,0.97828,0.92941,0.98271,0.77441,0.96942,0.92159,0.97326,0.68641,0.66929,1.0268,0.43026,0.93138,0.000863116,0.000863116,0.000863116
62,1020.14,0.6201,0.89533,0.42788,0.90304,0.97957,0.94279,0.9803,0.784,0.96674,0.92518,0.96378,0.68358,0.67989,0.99652,0.44453,0.93906,0.000853685,0.000853685,0.000853685
63,1036.49,0.63705,0.94509,0.43651,0.91442,0.96201,0.94242,0.97988,0.77568,0.96237,0.91386,0.95539,0.66955,0.6923,1.03726,0.42843,0.94138,0.000844253,0.000844253,0.000844253
64,1052.68,0.63718,0.91768,0.43956,0.90932,0.96683,0.94137,0.9818,0.7801,0.94337,0.91386,0.96104,0.69371,0.68849,0.99319,0.43558,0.9519,0.000834822,0.000834822,0.000834822
65,1068.97,0.63064,0.91207,0.42773,0.91099,0.95576,0.91639,0.973,0.76357,0.92895,0.8929,0.95042,0.67431,0.70327,1.01954,0.43357,0.95544,0.00082539,0.00082539,0.00082539
66,1085.05,0.62955,0.88735,0.42304,0.90639,0.97407,0.94169,0.98608,0.78617,0.95921,0.93084,0.96911,0.69162,0.66767,0.96836,0.40382,0.93381,0.000815959,0.000815959,0.000815959
67,1101.48,0.6159,0.88186,0.43089,0.9025,0.97389,0.94706,0.9809,0.78067,0.96658,0.94039,0.97247,0.68972,0.65823,0.99353,0.40567,0.93993,0.000806528,0.000806528,0.000806528
